1	Thật kinh ngạc, 42 khối vuông hình sắc cạnh không hơn kém nhau 1 gam.	Thật tuyệt vời, các khối hình đều giống nhau giống nhau một cách đáng kinh ngạc.	3	Hình học
2	Ông Nguyễn Bá Thụ, cục trưởng Cục Kiểm lâm VN, thừa nhận tình trạng vận chuyển, buôn bán hổ và xương hổ trái phép vẫn đang diễn ra tại VN và đặc biệt sôi động ở Hà Nội.	Ông Thụ, cục trưởng Cục Kiểm lâm VN, thừa nhận tình trạng vận chuyển, buôn bán hổ và xương hổ trái phép vẫn đang diễn ra tại VN và đặc biệt sôi động ở Hà Nội.	4	Tin Tức
3	Đá, bụi, không khí ngột ngạt, nước tuôn xuống và tối tăm khiến chúng tôi lẫn những người thợ lặng người.	Đá, bụi, không khí ngột ngạt, nước tuôn xuống và tối tăm khiến chúng tôi lẫn những người thợ lặng người, nhưng không ngại những khó khăn đó những người thợn lặn vẫn cần mẫn làm việc hàng ngày.	2	Đời Sống
4	Trước khi vào hầm, kỹ sư Đàm Khắc Lĩnh tự tay phát cho mỗi người một chiếc áo phản quang, một đôi ủng cùng chiếc mũ bảo hộ làm bằng nhựa cứng khá nặng.	Trước khi vào hầm, những con thỏ đều sẽ cảnh giác nhìn xung quanh để xem có những con thú săn mồi nào rình rập gần đó không.	0	Tin Tức
5	Còn với những người thợ khoan hầm Sông Đà, sự kiện như thế đã từng diễn ra và giờ đây trước mắt họ lại có những công trình mới đang vẫy gọi . 	Còn với những người thợ khoan hầm Sông Đà, sự kiện như thế đã xảy ra rất nhiều là và không còn xa lạ với họ nữa. 	2	Tin Tức
6	Sáng nay phóng xe máy từ Cam Ly vào Dankia bất chợt tôi bàng hoàng: một con đường sang trọng, vút dài bóng mượt, giữa một rìa phía tây trải xuống cánh cung đông bắc còn gần như nguyên sơ của thành phố cao nguyên đã hình thành.	Một con đường sang trọng, vút dài bóng mượt, giữa một rìa phía tây trải xuống cánh cung đông bắc còn gần như nguyên sơ của thành phố cao nguyên đã hình thành.	3	Đời Sống
7	Điểm cuối của con đường là vùng sơn thủy gần như trinh nguyên mà ta có thể nhìn thấy nó từ đỉnh cao hơn 1900 m của dãy Lang Bian.	Điểm đến của chúng ta gần như là những con đường khó khăn nhất, nhưng nếu chúng ta cố gắng thì mọi chuyện đều có thể hoàn thành.	0	Đời Sống
8	Toàn bộ khu vực này ( bao gồm hồ Suối Vàng và hàng nghìn hecta rừng thông đặc dụng, phòng hộ xung quanh ) đã được Chính phủ cho phép xây dựng quần thể du lịch cao cấp lớn nhất VN với tổng vốn đầu tư hơn 700 triệu USD.	Với kiểu “ đón đầu ” dự án, nhiều năm qua đã có rất nhiều người đến đây lấn chiếm đất rừng trái phép, mua bán sang nhượng đất lâm nghiệp với mục đích “ đầu cơ đất ” với diện tích lên đến hàng trăm hecta, trong đó có không ít người là cán bộ các cấp của địa phương.	0	Tin Tức
9	Một thành viên đoàn thanh tra cho biết chậm nhất đến ngày 26 – 10 – 2003 sẽ có kết quả chính thức của cuộc thanh tra để tỉnh có biện pháp xử lý kiên quyết những trường hợp vi phạm.	Một thành viên đoàn thanh tra cho biết kết quả chính thức của cuộc thanh tra để tỉnh có biện pháp xử lý kiên quyết những trường hợp vi phạm.	2	Tin Tức
10	Hàng chục trang trại nằm rải rác đây đó trong khu vực được gọi tên là Suối Cạn ( thuộc ban quản lý rừng phòng hộ Sêrêpôk ) và nhiều lâm phận không tên khác.	Hà chục trang trại nằm liền kề nhau trong khu vực được gọi tên là Suối Cạn.	3	Địa Lý
11	Mới đây, tổng cục trưởng Tổng cục Du lịch Võ Thị Thắng vào đến tận đây, rồi người ta thấy bà lắc đầu ngao ngán.	Gần đây, tổng cục trưởng Tổng cục Du lịch Võ Thị Thắng có đến thăm và được sự chào đón nhiệt tình của người dân.	1	Tin Tức
12	Dự án “ Dankia Resort ” đóng băng, nhưng giờ đây trên đường vào “ thành phố Đà Lạt 2 ” của mơ ước ấy, người ta thấy những hàng quán lố nhố nhếch nhác được dựng lên, những xe du lịch mang biển số TP. HCM, Đồng Nai, Vũng Tàu, Tây Nam bộ đổ đến dày đặc.	Sáu năm trôi đi vắng lạnh kể từ ngày dự án “ Dankia Resort ” được phê duyệt, ở Lâm Đồng dường như người dân lơi dần để ý đến nó, báo chí cũng không còn say sưa nhắc đến.	0	Tin Tức
13	Và mới đây thôi, trong một cuộc họp tại phòng họp trung tâm của UBND tỉnh Lâm Đồng, tân bí thư của Lâm Đồng Nguyễn Văn Đẳng nói rằng Singapore vẫn tiếp tục đeo đuổi “ Dankia Resort ”, nhất là khi họ nghe tin đường cao tốc Đà Lạt - Dầu Giây sắp mở, và phi trường Liên Khương nay đang “ lên đời ” thành phi trường quốc tế.	Và mới gần đây, trong một cuộc họp, tân bí thư của Lâm Đồng Nguyễn Văn Đẳng chia sẻ rằng Singapore vẫn tiếp  tục đeo đuổi “ Dankia Resort ”, nhất là khi họ nghe tin đường cao tốc Đà Lạt - Dầu Giây sắp mở, và phi trường Liên Khương nay đang “ lên đời ” thành phi trường quốc tế.	4	Tin Tức
