1	Thật kinh ngạc, 42 khối vuông hình sắc cạnh không hơn kém nhau 1 gam	Thật tuyệt vời, các khối hình đều giống nhau giống nhau một cách đáng kinh ngạc	0.7488797	Hình học
2	Ông Nguyễn Bá Thụ, cục trưởng Cục Kiểm lâm VN, thừa nhận tình trạng vận chuyển, buôn bán hổ và xương hổ trái phép vẫn đang diễn ra tại VN và đặc biệt sôi động ở Hà Nội.	Ông Thụ, cục trưởng Cục Kiểm lâm VN, thừa nhận tình trạng vận chuyển, buôn bán hổ và xương hổ trái phép vẫn đang diễn ra tại VN và đặc biệt sôi động ở Hà Nội.	0.995781	Tin Tức
3	Đá, bụi, không khí ngột ngạt, nước tuôn xuống và tối tăm khiến chúng tôi lẫn những người thợ lặng người .	Đá, bụi, không khí ngột ngạt, nước tuôn xuống và tối tăm khiến chúng tôi lẫn những người thợ lặng người, nhưng không ngại những khó khăn đó những người thợn lặn vẫn cần mầm làm việc hàng ngày .	0.9350126	Đời Sống
4	Trước khi vào hầm, kỹ sư Đàm Khắc Lĩnh tự tay phát cho mỗi người một chiếc áo phản quang, một đôi ủng cùng chiếc mũ bảo hộ làm  bằng nhựa cứng khá nặng .	Trước khi vào hầm, những con thỏ đều sẽ cảnh giác nhìn xung quanh để xem có những con thú săn mồi nào rình rập gần đó không .	0.7819081	Tin Tức
5	Còn với những người thợ khoan hầm Sông Đà, sự kiện như thế đã từng diễn ra và giờ đây trước mắt họ lại có những công trình mới đang vẫy gọi . 	Còn với những người thợ khoan hầm Sông Đà, sự kiện như thế đã xảy ra rất nhiều là và không còn xa lạ với họ nữa . 	0.89719546	Tin Tức
6	Sáng nay phóng xe máy từ Cam Ly vào Dankia bất chợt tôi bàng hoàng : một con đường sang trọng, vút dài bóng mượt, giữa một rìa phía tây trải xuống cánh cung đông bắc còn gần như nguyên sơ của thành phố cao nguyên đã hình thành	Một con đường sang trọng, vút dài bóng mượt, giữa một rìa phía tây trải xuống cánh cung đông bắc còn gần như nguyên sơ của thành phố cao nguyên đã hình thành	0.96367276	Đời Sống
7	Điểm cuối của con đường là vùng sơn thủy gần như trinh nguyên mà ta có thể nhìn thấy nó từ đỉnh cao hơn 1.900 m của dãy Lang Bian	Điểm đến của chúng ta gần như là những con đường khó khăn nhất, nhưng nếu chúng ta cố gắng thì mọi chuyện đều có thể hoàn thành	0.7080449	Đời Sống
8	Toàn bộ khu vực này ( bao gồm hồ Suối Vàng và hàng nghìn hecta rừng thông đặc dụng, phòng hộ xung quanh ) đã được Chính phủ cho phép xây dựng quần thể du lịch cao cấp lớn nhất VN với tổng vốn đầu tư hơn 700 triệu USD	Với kiểu “ đón đầu ” dự án, nhiều năm qua đã có rất nhiều người đến đây lấn  chiếm đất rừng trái phép, mua bán sang nhượng đất lâm nghiệp với mục đích “ đầu  cơ đất ” với diện tích lên đến hàng trăm hecta, trong đó có không ít người là cán bộ các cấp của địa phương	0.8346265	Tin Tức
9	Một thành viên đoàn thanh tra cho biết chậm nhất đến ngày 26 - 10 – 2003 sẽ có kết quả chính thức của cuộc thanh tra để tỉnh có biện pháp xử lý kiên quyết những trường hợp vi phạm	Một thành viên đoàn thanh tra cho biết kết quả chính thức của cuộc thanh tra để tỉnh có biện pháp xử lý kiên quyết những trường hợp vi phạm	0.9537647	Tin Tức
10	Hàng chục trang trại nằm rải rác đây đó trong khu vực được gọi tên là Suối  Cạn ( thuộc ban quản lý rừng phòng hộ Sêrêpôk ) và nhiều lâm phận không tên khác	Hà chục trang trại nằm liền kề nhau trong khu vực được gọi ten là Suối Cạn	0.86095405	Địa Lý
11	Mới đây, tổng cục trưởng Tổng cục Du lịch Võ Thị Thắng vào đến tận đây, rồi người ta thấy bà lắc đầu ngao ngán	Gần đây, tổng cục trưởng Tổng cục Du lịch Võ Thị Thắng có đến thăm và được sự chào đón nhiệt tình của người dân	0.858905	Tin Tức
